gene,padj,fold,model
IGKV1OR-3,0.04937222289598894,3,LR_C=0.001
FAM47A,0.04937222289598894,3,LR_C=0.001
AC093826.2,0.05020962000870157,3,LR_C=0.001
RBMXL3,0.05028725639165374,3,LR_C=0.001
DDN,0.05040928592697564,3,LR_C=0.001
PCP4,0.05091762053557602,3,LR_C=0.001
CCL8,0.051342729802777765,3,LR_C=0.001
RPS13P2,0.0515200236589032,3,LR_C=0.001
CBLN4,0.051620609973247994,3,LR_C=0.001
CARD18,0.0516769859952159,3,LR_C=0.001
TAS2R8,0.0516769859952159,3,LR_C=0.001
AC099778.1,0.0516769859952159,3,LR_C=0.001
MT-CO3,0.0516769859952159,3,LR_C=0.001
GPR45,0.05188152434429806,3,LR_C=0.001
MORN5,0.05188152434429806,3,LR_C=0.001
SLC2A7,0.05188152434429806,3,LR_C=0.001
IGF2-AS,0.05188152434429806,3,LR_C=0.001
CLEC3A,0.05188152434429806,3,LR_C=0.001
CACNG7,0.05235579527549829,3,LR_C=0.001
AC246793.1,0.052567397050382714,3,LR_C=0.001
ZNF285B,0.052567397050382714,3,LR_C=0.001
ADRA1D,0.052981238236429196,3,LR_C=0.001
IGKV6-21,0.052981238236429196,3,LR_C=0.001
GPR173,0.05304148015715388,3,LR_C=0.001
OR5K4,0.0536518184154983,3,LR_C=0.001
OR8K3,0.054291071071658994,3,LR_C=0.001
RPL31P49,0.054291071071658994,3,LR_C=0.001
PTCHD3,0.054291071071658994,3,LR_C=0.001
RXFP3,0.054291071071658994,3,LR_C=0.001
ZNF474,0.054291071071658994,3,LR_C=0.001
LINC01996,0.05497987619196225,3,LR_C=0.001
TUBAL3,0.05497987619196225,3,LR_C=0.001
CLCA3P,0.05497987619196225,3,LR_C=0.001
CLDN20,0.05499957688333246,3,LR_C=0.001
FAM220BP,0.05507713920638184,3,LR_C=0.001
TEX26,0.055284290023507356,3,LR_C=0.001
TRAV13-1,0.05586022028776828,3,LR_C=0.001
AC139792.1,0.05586022028776828,3,LR_C=0.001
SERTAD4-AS1,0.056501719481951505,3,LR_C=0.001
NKX2-2,0.05697805962819983,3,LR_C=0.001
SPINK9,0.05832638529350883,3,LR_C=0.001
TAAR9,0.05848753115648872,3,LR_C=0.001
GDF10,0.05848753115648872,3,LR_C=0.001
CALHM3,0.05854458995750723,3,LR_C=0.001
AL161669.3,0.05854458995750723,3,LR_C=0.001
TMEM95,0.05947966314114111,3,LR_C=0.001
PPP1R2C,0.059693467146638715,3,LR_C=0.001
SERPINB11,0.05977704520854597,3,LR_C=0.001
UGT1A3,0.05978961639467165,3,LR_C=0.001
SULT1A4,0.05983684959908727,3,LR_C=0.001
TMEM132C,0.06018469207556507,3,LR_C=0.001
AC008895.1,0.060687335185842295,3,LR_C=0.001
AC020917.4,0.06135302152176458,3,LR_C=0.001
OR2W5,0.061629601207892924,3,LR_C=0.001
PRTN3,0.06361924246569112,3,LR_C=0.001
SF3A3P2,0.06383168420070903,3,LR_C=0.001
ZBTB20-AS4,0.06421719756737028,3,LR_C=0.001
PLSCR5,0.06421719756737028,3,LR_C=0.001
SMR3A,0.06566695110102469,3,LR_C=0.001
AC023794.1,0.06582209960467521,3,LR_C=0.001
LACRT,0.06632711556086388,3,LR_C=0.001
LINC00240,0.06632711556086388,3,LR_C=0.001
TUBA3FP,0.06639252310921588,3,LR_C=0.001
LRRC37A7P,0.06639252310921588,3,LR_C=0.001
GP9,0.06701475901078391,3,LR_C=0.001
BTBD10P1,0.06701475901078391,3,LR_C=0.001
CRYGA,0.06738334154464934,3,LR_C=0.001
LINC00426,0.06747919706573179,3,LR_C=0.001
AL137028.1,0.06747919706573179,3,LR_C=0.001
NPM1P9,0.06757678335466764,3,LR_C=0.001
AC093536.1,0.06781323266983076,3,LR_C=0.001
CTXND1,0.06790220430509408,3,LR_C=0.001
IL3,0.06825294526832477,3,LR_C=0.001
RPS7P4,0.06826639197034036,3,LR_C=0.001
OR5M8,0.06849643856725054,3,LR_C=0.001
CDC20P1,0.0685542613626393,3,LR_C=0.001
SSX5,0.0685542613626393,3,LR_C=0.001
OR6X1,0.0685542613626393,3,LR_C=0.001
DLX4,0.06969769409826443,3,LR_C=0.001
OR4C3,0.07002980513046307,3,LR_C=0.001
AP000550.2,0.07006802302438236,3,LR_C=0.001
MAB21L1,0.07053880439450257,3,LR_C=0.001
PCDHA12,0.07053880439450257,3,LR_C=0.001
PTX4,0.07053880439450257,3,LR_C=0.001
