,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GADD45B,452.9051372691011,-1.7143213523698306,0.9981602743651817,-1.7174810462779826,0.08589131462502331,0.886691031134804
RIN2,198.08728679084163,-1.756359095055868,1.0243245967569448,-1.714650903255253,0.08640925006901132,0.886691031134804
TPM2,389.496303372229,-1.4106952467737415,0.8233877746604297,-1.713281749119388,0.0866607183655553,0.886691031134804
PRODH2,144.0149948078932,-1.9317435104943004,1.1292028517533508,-1.7107143393189435,0.087133859315671,0.886691031134804
ACSL3,539.3242268257166,-1.6164110291605416,0.9456327457908161,-1.7093433326579288,0.0873873710284346,0.886691031134804
MIR1-1HG,12.649220201657537,-2.5228017350040597,1.476233699561058,-1.7089446852176502,0.08746119617820766,0.886691031134804
SLC35D2,52.75923258562937,-2.039318634725299,1.1935788188666838,-1.7085747522410415,0.08752974872893529,0.886691031134804
SALL4,73.3159403373398,2.0164448796825356,1.1802240647424704,1.7085271686292314,0.08753856962859971,0.886691031134804
MVK,195.22301799099608,-1.7127977850999239,1.0059465995742571,-1.7026726725104737,0.08862934169421613,0.886691031134804
HSPA5,1369.7478341833028,-1.471384018525168,0.8657791746485651,-1.6994911192249786,0.0892266864630216,0.886691031134804
DUS1L,168.2524618044348,-1.6846026076570997,0.991514834321757,-1.6990190659219409,0.08931559130792943,0.886691031134804
RPL9,1836.4307749723184,-1.4513644513110837,0.8546323663656743,-1.6982324896996515,0.0894638907609063,0.886691031134804
ALDH4A1,43.19848447548205,-2.0600544320533904,1.2141475317788675,-1.6967084955772804,0.08975178571540081,0.886691031134804
GSTP1,106.96713128503472,-1.7183554920775694,1.0149520788859678,-1.6930410093486103,0.09044766154495429,0.886691031134804
STAT1,1137.2351648960748,-1.5036371193827929,0.8891580530511923,-1.6910796840032922,0.0908215847932429,0.886691031134804
PRKCI,191.78421085831832,-1.7407368582098872,1.0300903094060714,-1.6898876169542454,0.09104945708914093,0.886691031134804
RPS25,1777.7343357437046,-1.5492607691655034,0.9177509213847309,-1.6881059262004672,0.09139089706565741,0.886691031134804
TPRKB,63.23836098833373,-1.893423109258948,1.1228637451736567,-1.6862447624632497,0.09174866545820216,0.886691031134804
TGFB1I1,101.30135831965697,-1.6484653026946108,0.9797583096271606,-1.682522400164099,0.09246758500527741,0.886691031134804
INSR,857.2204149366504,-1.295037439948812,0.7703219624724982,-1.6811638549057302,0.09273109212262619,0.886691031134804
YAP1,233.3933768407201,-1.5514774087508525,0.9232400892025241,-1.6804701473600294,0.09286587784235069,0.886691031134804
PFN2,74.0496325532164,-1.758175899054476,1.0465485389832718,-1.679975494268574,0.0929620837719177,0.886691031134804
TCEAL1,53.17087883775602,-2.296011915075103,1.3673648188311471,-1.6791509357669328,0.09312263137578305,0.886691031134804
PLXNB1,592.8518181165731,-1.6567981066148703,0.9867016333762616,-1.6791277632182442,0.09312714645396057,0.886691031134804
GSTZ1,144.81118807180658,-1.8876035951480061,1.128106455345388,-1.673249529070451,0.0942781836733431,0.886691031134804
ATP6V1B2,204.37207225496172,-1.6413018391025451,0.9857139408215095,-1.6650894048781113,0.09589492021449787,0.886691031134804
ACACB,818.5104135123562,-1.0477701347935653,0.633845830152457,-1.653036251010042,0.09832348601965911,0.886691031134804
CSNK2A2,166.1073052604608,-1.4878265207917742,0.9016761725459562,-1.6500674699995395,0.09892913720657694,0.886691031134804
ABHD2,561.3354345246031,-1.2152946520874583,0.7372645690153508,-1.648383366246038,0.09927402716841661,0.886691031134804
FXYD6,88.95714369646758,-1.7094773450601743,1.0373855336257187,-1.6478708152845147,0.0993791834201405,0.886691031134804
NPEPPS,856.8846222534407,-0.9748611021650203,0.5920538202663038,-1.6465751402913522,0.09964540369484996,0.886691031134804
DSP,3203.182731007071,-1.5354274542897874,0.9342280472175108,-1.643525324317632,0.10027429013902223,0.886691031134804
SNRPD1,139.30480217345132,-1.2753740998186138,0.7764674950789097,-1.642533792981253,0.10047942881203342,0.886691031134804
TST,163.00215924420138,-1.8260826958311123,1.1134928354614573,-1.6399590888021665,0.10101367357945136,0.886691031134804
SOX4,194.7259136499189,-1.0763051508023287,0.6566429381500878,-1.6391026054959557,0.10119189252515107,0.886691031134804
CPE,168.90446235824763,-1.8740899439589809,1.1436723730330445,-1.6386598016605516,0.10128413029739297,0.886691031134804
CBS,500.7867906038538,-1.6536680437640423,1.0096713469863303,-1.637828040480613,0.10145757042945955,0.886691031134804
ABLIM1,504.3893355966367,-0.6126793883762796,0.375133803259649,-1.633228952049979,0.10242085299224274,0.886691031134804
NKG7,23.437012646176733,-2.0112259790469467,1.2355741056684093,-1.6277663717781885,0.10357443357098273,0.886691031134804
SAP30BP,243.92087507492357,-1.612025408425712,0.9904423509068461,-1.6275812589695364,0.10361370561983971,0.886691031134804
DHRS2,67.3562363056976,-1.712248473344006,1.0549001960950575,-1.6231378851594358,0.10455993249186425,0.886691031134804
S100A11,131.73877481447082,-1.7805122622054208,1.0975159380281387,-1.6223110758686505,0.1047367583487443,0.886691031134804
MASP2,312.5383048615666,-1.6391775924116547,1.010910658952605,-1.6214861104639962,0.10491342641181813,0.886691031134804
ROCK2,813.6850134081751,-1.4238321655855048,0.8804013310827756,-1.6172535357646292,0.10582356447810293,0.886691031134804
AQP1,40.83126916936281,-1.8451127509120682,1.142307020457326,-1.6152511696666032,0.10625631348196628,0.886691031134804
